model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
claude-opus-4-5-20251101:off,aimepp,None,RB,5.0,941,157,0.044585987261146494,0.06369426751592357,0.01910828025477707,0.01096122357726462,0.08128792804317753
claude-opus-5:off,aimepp,None,CB,10.0,23,157,0.07006369426751592,0.06369426751592357,-0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-5:off,aimepp,None,CB,30.0,63,157,0.07006369426751592,0.07006369426751592,0.0,0.012779617938585421,1.0
claude-opus-5:off,aimepp,None,CB,100.0,203,157,0.07006369426751592,0.07643312101910828,0.006369426751592357,0.014278943651409044,0.6555457537904961
claude-opus-5:off,aimepp,None,CB,300.0,603,157,0.07006369426751592,0.050955414012738856,-0.01910828025477707,0.014205905097489882,0.17859482277223693
claude-opus-5:off,aimepp,None,CB,1000.0,2004,155,0.07006369426751592,0.05161290322580645,-0.01935483870967742,0.011101722379590706,0.0812622602542108
claude-opus-5:off,aimepp,None,XB,4.0,4,157,0.07006369426751592,0.05732484076433121,-0.012738853503184714,0.012738853503184716,0.31731050786291415
claude-opus-5:off,aimepp,None,XB,16.0,16,157,0.07006369426751592,0.06369426751592357,-0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-5:off,aimepp,None,XB,64.0,64,157,0.07006369426751592,0.07643312101910828,0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-5:off,aimepp,None,XB,256.0,256,157,0.07006369426751592,0.07006369426751592,0.0,0.012779617938585421,1.0
claude-opus-5:off,aimepp,None,XB,300.0,300,156,0.07006369426751592,0.0641025641025641,-0.00641025641025641,0.01112674135513295,0.5645390438749647
claude-opus-5:off,aimepp,None,XB,1024.0,1024,156,0.07006369426751592,0.057692307692307696,-0.01282051282051282,0.015718731975567432,0.4147174834716296
claude-opus-5:off,aimepp,None,XB,4096.0,4096,129,0.07006369426751592,0.05426356589147287,-0.015503875968992248,0.015503875968992248,0.31731050786291415
claude-opus-5:off,aimepp,None,RB,1.0,188,157,0.07006369426751592,0.06369426751592357,-0.006369426751592357,0.014278943651409047,0.6555457537904963
claude-opus-5:off,aimepp,None,RB,5.0,940,156,0.07006369426751592,0.08974358974358974,0.019230769230769232,0.016944305806621533,0.25640048845303154
gpt-5.6-sol:none,aimepp,None,CB,10.0,23,157,0.05732484076433121,0.050955414012738856,-0.006369426751592357,0.014278943651409044,0.6555457537904961
gpt-5.6-sol:none,aimepp,None,CB,30.0,63,157,0.05732484076433121,0.050955414012738856,-0.006369426751592357,0.014278943651409044,0.6555457537904961
gpt-5.6-sol:none,aimepp,None,CB,100.0,203,157,0.05732484076433121,0.08280254777070063,0.025477707006369428,0.0201031241929727,0.20502994629752447
gpt-5.6-sol:none,aimepp,None,CB,300.0,603,157,0.05732484076433121,0.07006369426751592,0.012738853503184714,0.01561850523909726,0.4147142739762617
gpt-5.6-sol:none,aimepp,None,CB,1000.0,2004,157,0.05732484076433121,0.09554140127388536,0.03821656050955414,0.0153497797136899,0.012784594882761624
gpt-5.6-sol:none,aimepp,None,XB,4.0,4,157,0.05732484076433121,0.07643312101910828,0.01910828025477707,0.019108280254777073,0.31731050786291415
gpt-5.6-sol:none,aimepp,None,XB,16.0,16,157,0.05732484076433121,0.044585987261146494,-0.012738853503184714,0.018044307225045127,0.4802028674145489
